date,state,value
2021-03-15,Central Atlantic,3.1773491117673864
2021-03-15,New England,3.023959844302754
2021-03-15,New York State,3.1006544780350707
2021-03-15,New York City,3.078741725540123
2021-03-22,Central Atlantic,3.1773491117673864
2021-03-22,New England,3.0458725967977016
2021-03-22,New York State,3.1006544780350707
2021-03-22,New York City,3.0896981017875964
2021-03-29,Central Atlantic,3.155436359272439
2021-03-29,New England,3.023959844302754
2021-03-29,New York State,3.0896981017875964
2021-03-29,New York City,3.078741725540123
2021-04-05,Central Atlantic,3.122625590256069
2021-04-05,New England,3.002943076343815
2021-04-05,New York State,3.0682244475686806
2021-04-05,New York City,3.0464639904937254
2021-04-12,Central Atlantic,3.100865133181114
2021-04-12,New England,2.9811826192688606
2021-04-12,New York State,3.0464639904937254
2021-04-12,New York City,3.013823304881293
2021-04-19,Central Atlantic,3.100865133181114
2021-04-19,New England,2.992062847806338
2021-04-19,New York State,3.0464639904937254
2021-04-19,New York City,3.013823304881293
2021-04-26,Central Atlantic,3.1335058187935463
2021-04-26,New England,3.0355837619562482
2021-04-26,New York State,3.0791046761061587
2021-04-26,New York City,3.0791046761061587
2021-05-03,Central Atlantic,3.1498474179613805
2021-05-03,New England,3.030781020718854
2021-05-03,New York State,3.1065505462368255
2021-05-03,New York City,3.1065505462368255
2021-05-10,Central Atlantic,3.236441161410491
2021-05-10,New England,3.1065505462368255
2021-05-10,New York State,3.1823200717547966
2021-05-10,New York City,3.2039685076170743
2021-05-17,Central Atlantic,3.2905622510661843
2021-05-17,New England,3.171495853823658
2021-05-17,New York State,3.2256169434793516
2021-05-17,New York City,3.2580895972727677
2021-05-24,Central Atlantic,3.2905622510661843
2021-05-24,New England,3.1823200717547966
2021-05-24,New York State,3.236441161410491
2021-05-24,New York City,3.236441161410491
2021-05-31,Central Atlantic,3.2905622510661843
2021-05-31,New England,3.1823200717547966
2021-05-31,New York State,3.2256169434793516
2021-05-31,New York City,3.2256169434793516
2021-06-07,Central Atlantic,3.279739138128165
2021-06-07,New England,3.1618400187836886
2021-06-07,New York State,3.2261486293352206
2021-06-07,New York City,3.215430527576632
2021-06-14,Central Atlantic,3.3011753416453424
2021-06-14,New England,3.172558120542277
2021-06-14,New York State,3.279739138128165
2021-06-14,New York City,3.2475848328523984
2021-06-21,Central Atlantic,3.311893443403931
2021-06-21,New England,3.1939943240594544
2021-06-21,New York State,3.2904572398867535
2021-06-21,New York City,3.2475848328523984
2021-06-28,Central Atlantic,3.3333296469211087
