date,countyfips,value,county,state
2020-08-04,34003,8.52,Bergen,NJ
2020-08-04,34017,-2.76,Hudson,NJ
2020-08-04,34025,9.030000000000001,Monmouth,NJ
2020-08-04,34027,2.65,Morris,NJ
2020-08-04,36059,-2.94,Nassau,NY
2020-08-04,36103,9.19,Suffolk,NY
2020-08-04,36119,-8.21,Westchester,NY
2020-08-05,09001,-4.41,Fairfield,CT
2020-08-05,09003,-2.25,Hartford,CT
2020-08-05,09005,24.8,Litchfield,CT
2020-08-05,09009,-0.483,New Haven,CT
2020-08-05,34003,6.25,Bergen,NJ
2020-08-05,34017,-4.68,Hudson,NJ
2020-08-05,34025,5.88,Monmouth,NJ
2020-08-05,34027,2.1399999999999997,Morris,NJ
2020-08-05,36059,-5.1,Nassau,NY
2020-08-05,36103,7.26,Suffolk,NY
2020-08-05,36119,-10.4,Westchester,NY
2020-08-06,09001,-5.47,Fairfield,CT
2020-08-06,09003,-3.38,Hartford,CT
2020-08-06,09005,24.6,Litchfield,CT
2020-08-06,09009,-0.184,New Haven,CT
2020-08-06,34003,6.29,Bergen,NJ
2020-08-06,34017,-3.6700000000000004,Hudson,NJ
